X,Y,Z,Q1,Q2,Q3,Q4,Q5,Q6
-120.414,-89.6589,-35.4225,42.1723,5.1432,20.4289,26.4476,-6.32351,-27.3876
-119.986,-90.6397,-35.3463,42.0545,4.76915,20.2888,26.4476,-6.32351,-27.3144
-119.605,-91.9269,-35.2195,41.9367,4.25483,20.172,26.2279,-6.25027,-27.3876
-119.456,-93.34,-35.1651,41.8896,3.67038,20.102,26.0081,-6.03053,-27.3876
-119.326,-94.5723,-35.0899,41.8425,3.15606,20.0553,25.8616,-5.6643,-27.3876
-119.293,-95.6419,-35.1265,41.8425,2.71187,20.0086,25.7151,-5.22483,-27.3876
-119.164,-96.6217,-35.1615,41.8189,2.31444,19.9386,25.5687,-4.71212,-27.3876
-119.077,-97.2753,-35.2587,41.8189,2.05728,19.8685,25.4222,-4.12616,-27.3876
-118.923,-97.4937,-35.3198,41.7954,1.98715,19.7985,25.2024,-3.61344,-27.3876
-118.907,-97.4217,-35.4477,41.8189,2.0339,19.7518,25.0559,-3.17397,-27.3876
-119.007,-97.0411,-35.556,41.8661,2.19755,19.7518,24.9827,-2.7345,-27.3876
-119.206,-96.3344,-35.7735,41.9603,2.50147,19.7518,24.8362,-2.36827,-27.3876
-119.556,-95.3561,-36.1516,42.1252,2.92228,19.7518,24.8362,-2.00205,-27.3876
-119.991,-93.9436,-36.6538,42.3372,3.53011,19.7518,24.9095,-1.78231,-27.3876
-120.502,-92.1523,-37.2881,42.5964,4.30159,19.7518,25.0559,-1.56258,-27.3876
-120.999,-89.8567,-37.937,42.8556,5.28347,19.7751,25.2024,-1.34284,-27.3876
-121.504,-87.1505,-38.7885,43.1618,6.45238,19.7751,25.5687,-1.19635,-27.3876
-122.003,-84.2335,-39.5361,43.4446,7.69143,19.8452,25.9349,-1.1231,-27.3876
-122.589,-80.5706,-40.4008,43.7744,9.23439,19.9853,26.5941,-1.04986,-27.3144
-123.256,-76.4388,-41.3871,44.1514,10.9644,20.1954,27.1801,-1.04986,-27.3876
-123.914,-72.1122,-42.379,44.5283,12.7645,20.4756,27.8393,-1.04986,-27.3876
-124.576,-67.0311,-43.4643,44.9288,14.8685,20.8725,28.5717,-1.1231,-27.3876
-125.191,-61.6511,-44.5901,45.3294,17.0895,21.3627,29.4507,-1.41608,-27.4608
-125.781,-55.8707,-45.6322,45.7063,19.4507,22.0165,30.3296,-1.78231,-27.4608
-126.228,-50.1668,-46.5064,46.0126,21.7651,22.7636,31.1353,-2.14854,-27.6073
-126.615,-43.6321,-47.434,46.3189,24.4068,23.7208,32.0142,-2.7345,-27.8271
-126.863,-36.5653,-48.1908,46.5545,27.2356,24.9115,32.8932,-3.3937,-28.0468
-127.071,-29.0955,-48.7839,46.743,30.1813,26.3591,33.6989,-4.12616,-28.4863
-127.163,-21.2244,-49.3855,46.9079,33.2672,28.0167,34.5778,-5.29808,-28.7793
-127.032,-13.1094,-49.7039,46.955,36.3999,29.9078,35.4568,-6.47,-29.2187
-126.492,-4.38577,-50.1115,46.9314,39.7897,32.0091,36.4089,-8.0814,-29.6582
-125.395,3.95297,-50.2638,46.7194,43.0393,34.1104,37.2146,-9.76603,-30.0244
-123.764,11.8839,-50.0595,46.2953,46.1252,36.2116,38.0936,-11.6704,-30.5371
-121.33,19.5424,-49.5853,45.6121,49.1644,38.2662,38.826,-13.8678,-30.9034
-118.297,26.7441,-48.9765,44.7404,52.0866,40.2273,39.4852,-16.0651,-31.1963
