X,Y,Z,Q1,Q2,Q3,Q4,Q5,Q6
-98.99,-62.9505,25.5368,27.0468,6.9667,39.7837,20.002,-17.53,-29.3652
-98.974,-63.0392,25.5055,27.0468,6.94333,39.7604,20.0753,-17.6033,-29.292
-98.958,-63.128,25.4741,27.0468,6.91995,39.737,20.0753,-17.6033,-29.292
-98.9419,-63.2167,25.4427,27.0468,6.89657,39.7137,20.0753,-17.53,-29.292
-98.9508,-63.3788,25.4601,27.0468,6.82644,39.7137,19.9288,-17.53,-29.292
-98.9654,-63.649,25.4887,27.0468,6.70954,39.7137,19.8555,-17.4568,-29.2187
-98.9769,-63.8651,25.5111,27.0468,6.61603,39.7137,19.8555,-17.4568,-28.999
-99.1448,-64.0273,25.4463,27.094,6.5459,39.7137,19.709,-17.3103,-28.706
-99.3041,-64.0273,25.3647,27.1411,6.5459,39.7137,19.6358,-17.3103,-28.413
-99.6226,-64.0273,25.2011,27.2353,6.5459,39.7137,19.5626,-17.1638,-28.12
-99.938,-63.9732,25.0315,27.3296,6.56928,39.7137,19.6358,-17.0906,-27.9003
-100.415,-63.9732,24.7843,27.4709,6.56928,39.7137,19.709,-16.9441,-27.7538
-101.044,-63.8651,24.4419,27.6594,6.61603,39.7137,19.7823,-16.8708,-27.6073
-101.669,-63.703,24.0918,27.8479,6.68617,39.7137,20.002,-16.7976,-27.5341
-102.365,-63.4328,23.686,28.0599,6.80306,39.7137,20.2218,-16.6511,-27.4608
-103.073,-63.02,23.3024,28.272,6.9667,39.737,20.4415,-16.5046,-27.3876
-103.835,-62.588,22.83,28.5076,7.15373,39.737,20.6612,-16.5046,-27.3144
-104.59,-62.1022,22.3471,28.7432,7.36413,39.737,21.0275,-16.5046,-27.3144
-105.339,-61.5628,21.8535,28.9788,7.59792,39.737,21.3204,-16.3581,-27.3144
-106,-60.9158,21.3856,29.1908,7.87845,39.737,21.6134,-16.3581,-27.2411
-106.653,-60.2154,20.9059,29.4028,8.18237,39.737,21.9064,-16.3581,-27.2411
-107.212,-59.3541,20.4439,29.5913,8.55642,39.737,22.3459,-16.3581,-27.2411
-107.746,-58.2249,19.9384,29.7798,9.04736,39.737,22.5656,-16.2116,-27.2411
-108.109,-56.99,19.4964,29.9211,9.58506,39.737,23.0051,-16.3581,-27.1679
-108.378,-55.6499,19.0718,30.0389,10.1695,39.737,23.2248,-16.2116,-27.2411
-108.557,-54.2588,18.6708,30.1332,10.7774,39.737,23.6643,-16.3581,-27.0946
-108.679,-52.6386,18.1744,30.2274,11.5021,39.7137,23.9573,-16.3581,-27.1679
-108.669,-51.0943,17.8053,30.2746,12.18,39.7137,24.2502,-16.3581,-27.1679
-108.567,-49.5009,17.4548,30.2981,12.8814,39.7137,24.5432,-16.4313,-27.0946
-108.296,-47.859,17.1657,30.2746,13.6061,39.7137,24.8362,-16.5778,-27.1679
-107.98,-46.1515,16.7991,30.251,14.3776,39.6904,24.9095,-16.7243,-27.0946
-107.681,-44.4678,16.4604,30.2274,15.1257,39.6904,25.1292,-16.8708,-27.0946
-107.128,-42.6853,16.2091,30.1332,15.9206,39.6904,25.2024,-17.0173,-27.1679
-106.496,-40.962,15.9925,30.0154,16.692,39.6904,25.4222,-17.3103,-27.0946
-105.862,-39.2975,15.7681,29.8976,17.4401,39.6904,25.4222,-17.4568,-27.0946
-105.16,-37.7433,15.5957,29.7562,18.1415,39.6904,25.4222,-17.823,-26.9481
-104.29,-36.1438,15.475,29.5678,18.8662,39.6904,25.4222,-18.1892,-26.8016
-103.413,-34.5512,15.3331,29.3793,19.5909,39.6904,25.3489,-18.4822,-26.6551
-102.376,-32.9657,15.254,29.1437,20.3157,39.6904,25.2757,-18.9949,-26.3622
-101.276,-31.4893,15.2279,28.8845,20.9936,39.6904,25.0559,-19.4344,-26.0692
-100.113,-30.1206,15.2566,28.6018,21.6248,39.6904,24.8362,-19.8739,-25.7762
-98.9747,-28.9091,15.3195,28.3191,22.1859,39.6904,24.5432,-20.2401,-25.5565
-97.7867,-27.8529,15.4611,28.0128,22.6769,39.6904,24.1038,-20.6063,-25.2635
-96.6261,-27.0854,15.6447,27.7065,23.0509,39.667,23.8108,-20.9725,-24.8973
-95.4179,-26.47,15.9133,27.3767,23.3548,39.6437,23.4446,-21.2655,-24.4578
-94.162,-26.0056,16.268,27.0233,23.5886,39.6203,22.8586,-21.412,-23.9451
-93.191,-25.7065,16.6133,26.7406,23.7289,39.6203,22.4924,-21.6318,-23.3591
-92.1912,-25.6567,17.0892,26.4343,23.7523,39.6203,22.0529,-21.9247,-22.7732
-91.1221,-25.6567,17.6169,26.1044,23.7523,39.6203,21.5402,-22.1445,-22.1139
-90.1006,-25.9101,18.0473,25.7982,23.6821,39.5503,21.0275,-22.4374,-21.4547
-89.1277,-26.4165,18.3806,25.5154,23.5419,39.4102,20.4415,-22.7304,-20.8688
-88.1991,-27.1724,18.8051,25.2327,23.2847,39.2701,19.8555,-23.0967,-20.3561
-87.4663,-28.1792,19.2468,24.9971,22.9106,39.13,19.1963,-23.3164,-19.8433
-86.8766,-29.3203,19.7969,24.7851,22.4431,39.0366,18.6104,-23.4629,-19.4039
-86.315,-30.5313,20.413,24.573,21.9288,38.9666,18.0977,-23.6826,-19.0376
